,price,location,num_beds,num_bath,url
1579,2600.0,woodside,3.0,1.0,https://newyork.craigslist.org/que/apa/d/woodside-br-apartment-for-rent-woodside/7309768087.html
1580,2680.0,kewgardens,3.0,,https://newyork.craigslist.org/que/apa/d/kew-gardens-bedroom-15-bath/7309763626.html
1581,2865.0,yonkers,2.0,2.0,https://newyork.craigslist.org/wch/apa/d/yonkers-great-space-for-every-taste/7309761883.html
1582,1600.0,prospectheights,2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-new-small-two-bedsc2345bq/7309761807.html
1583,1975.0,prospectheights,2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-new-large-two-bedsc2345bq/7309761590.html
1584,1950.0,clintonhill,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-new-large-one-bed-lofty/7309761389.html
1585,2175.0,clintonhill,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-new-large-lofty-one-bed/7309761163.html
1586,1550.0,uppereastside,1.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-great-bedroom-apartment-96/7309757183.html
1587,2300.0,longislandcity/astoria,2.0,1.0,https://newyork.craigslist.org/que/apa/d/astoria-lge-bedrm-balcony-no-fee-near/7309757053.html
1588,1400.0,crownheights,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-studio-newly-renovated/7309756141.html
1589,2074.0,stamford,2.0,1.0,https://newyork.craigslist.org/fct/apa/d/stamford-pet-friendly-community-in/7309755851.html
1590,2550.0,prospectheights,2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-large-bed-apt-in-prime/7309755285.html
1591,1795.0,crownheights*nofee,2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-spacehardwood-floorno/7309754653.html
1592,1550.0,foresthills/austinst.,0.0,1.0,https://newyork.craigslist.org/que/apa/d/forest-hills-studio-for-rent/7309754542.html
1593,2425.0,foresthills,3.0,2.0,https://newyork.craigslist.org/que/apa/d/forest-hills-bdrm-ps-196-on-113-street/7309753760.html
1594,1899.0,brooklyn,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-gorgeous-laundry-in-unit/7309752915.html
1595,2300.0,flushing,1.0,1.0,https://newyork.craigslist.org/que/apa/d/flushing-new-luxury-apartment-for-rent/7309641572.html
1596,2495.0,ridgewood/glendale*nofee,3.0,1.0,https://newyork.craigslist.org/que/apa/d/ridgewood-tree-lined-blockno/7309751963.html
1597,1685.0,foresthills,1.0,1.0,https://newyork.craigslist.org/que/apa/d/forest-hills-no-fee-large-700-sf-block/7309750137.html
1598,2300.0,brooklyn,2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-br-private-balcony-in/7309749921.html
1599,2250.0,rye,1.0,1.0,https://newyork.craigslist.org/wch/apa/d/rye-rye-city-condominium/7309749453.html
1600,2100.0,batterypark,2.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-condo-finishestop-floorhigh/7309748089.html
1601,2199.0,brooklyn,2.0,2.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-laundry-in-unit/7309747836.html
1602,2100.0,batterypark,1.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-top-floormassivehigh/7309747759.html
